mount,orient,d_set_m,scan,d_m,px,py,lx,ly,lz,stamp,n_new,best_all,best_ns,best_rings,best_ring_list,near_n,near_rings,near_d_m,nearxy_n,nearxy_rings,nearxy_d_m,alarm_m3,alarm_m5,alarm_m10,alarm_m20,alarm_xy5,cand_m3,cand_m5,cand_m10,cand_m20,cand_xy5,best
lk0,toward,20.0,7,20.0,0.001,-79.986,0.0,-59.9855,0.8481,72.0,10,10,10,2,7 8,4,1,0.078,10,2,0.092,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,8,20.0,0.001,-79.986,0.0,-59.9855,0.8481,72.1,10,10,10,2,7 8,4,1,0.103,10,2,0.105,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,9,20.0,0.001,-79.986,0.0,-59.9855,0.8481,72.2,10,10,10,2,7 8,6,1,0.102,10,2,0.107,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,0,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.3,10,10,10,2,7 8,4,1,0.061,10,2,0.09,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,22.5,1,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.4,10,10,10,2,7 8,4,1,0.074,10,2,0.097,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,2,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.5,10,10,10,2,7 8,4,1,0.08,10,2,0.093,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,3,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.6,10,10,10,2,7 8,4,1,0.059,10,2,0.087,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,4,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.7,10,10,10,2,7 8,4,1,0.09,10,2,0.108,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,5,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.8,10,10,10,2,7 8,4,1,0.073,10,2,0.09,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,6,22.5,0.001,-82.486,0.0,-59.9855,0.8481,72.9,10,10,10,2,7 8,4,1,0.068,10,2,0.089,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,7,22.5,0.001,-82.486,0.0,-59.9855,0.8481,73.0,10,10,10,2,7 8,4,1,0.063,10,2,0.087,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,8,22.5,0.001,-82.486,0.0,-59.9855,0.8481,73.1,10,10,10,2,7 8,4,1,0.067,10,2,0.086,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,22.5,9,22.5,0.001,-82.486,0.0,-59.9855,0.8481,73.2,10,10,10,2,7 8,4,1,0.067,10,2,0.093,0,0,0,0,1,0,0,0,0,1,1
