layout,detector,variant,n,caught_any,caught_before_post,ppost,ppost_lo,ppost_hi,caught_before50,p50,p50_lo,p50_hi,warn_s_median,dist_m_median
L3,mulcher,best,72,58,55,0.7638888888888888,0.6540123093347168,0.8470329047278986,0,0.0,0.0,0.05065117335504446,7.9535,38.054500000000004
L3,lk3a,alarm_m3,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.817,41.744
L3,lk3a,alarm_m5,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.817,41.744
L3,lk3a,alarm_m10,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.735,41.697
L3,lk3a,alarm_m20,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.014,40.7405
L3,lk3a,alarm_xy5,72,72,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,-12.097,12.5505
L3,lk3a,best,72,72,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,-11.14,13.751999999999999
L3,lk3b,alarm_m3,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.542,41.641000000000005
L3,lk3b,alarm_m5,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.542,41.641000000000005
L3,lk3b,alarm_m10,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.515,41.608999999999995
L3,lk3b,alarm_m20,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.065000000000001,41.0215
L3,lk3b,alarm_xy5,72,52,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,-11.7715,13.0305
L3,lk3b,best,72,70,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,-11.621,13.1795
L3,lk3c,alarm_m3,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.9795,41.707
L3,lk3c,alarm_m5,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.9795,41.707
L3,lk3c,alarm_m10,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.952,41.6635
L3,lk3c,alarm_m20,72,24,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,0,0.0,0.0,0.05065117335504446,10.2735,40.848
L3,lk3c,alarm_xy5,72,37,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,26.61,61.762
L3,lk3c,best,72,55,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,24,0.3333333333333333,0.23534643375597977,0.4482039573623684,-11.272,13.56
L3,team,alarm_m3,72,72,72,1.0,0.9493488266449553,0.9999999999999999,0,0.0,0.0,0.05065117335504446,10.813,41.7235
L3,team,alarm_m5,72,72,72,1.0,0.9493488266449553,0.9999999999999999,0,0.0,0.0,0.05065117335504446,10.813,41.7235
L3,team,alarm_m10,72,72,72,1.0,0.9493488266449553,0.9999999999999999,0,0.0,0.0,0.05065117335504446,10.747,41.6295
L3,team,alarm_m20,72,72,72,1.0,0.9493488266449553,0.9999999999999999,0,0.0,0.0,0.05065117335504446,10.092,40.885000000000005
L3,team,alarm_xy5,72,72,72,1.0,0.9493488266449553,0.9999999999999999,72,1.0,0.9493488266449553,0.9999999999999999,27.2485,62.810500000000005
L3,team,best,72,72,72,1.0,0.9493488266449553,0.9999999999999999,72,1.0,0.9493488266449553,0.9999999999999999,27.9735,63.789
